agcy,cpn,bb,px,sd
FGCI,2,G0,94.140625,12/18/2018
FGCI,2.5,G0,96.78125,12/18/2018
FGCI,3,G0,98.84375,12/18/2018
FGCI,3.5,G0,100.546875,12/18/2018
FGCI,4,G0,101.953125,12/18/2018
FGCI,2,G1,94.078125,1/17/2019
FGCI,2.5,G1,96.765625,1/17/2019
FGCI,3,G1,98.8125,1/17/2019
FGCI,3.5,G1,100.46875,1/17/2019
FGCI,4,G1,101.78125,1/17/2019
FGLMC,2.5,G0,92.984375,12/13/2018
FGLMC,3,G0,96.078125,12/13/2018
FGLMC,3.5,G0,98.71875,12/13/2018
FGLMC,4,G0,101.078125,12/13/2018
FGLMC,4.5,G0,103.125,12/13/2018
FGLMC,2.5,G1,92.90625,1/14/2019
FGLMC,3,G1,96.015625,1/14/2019
FGLMC,3.5,G1,98.625,1/14/2019
FGLMC,4,G1,100.984375,1/14/2019
FGLMC,4.5,G1,103,1/14/2019
FNCI,2,G0,94.15625,12/18/2018
FNCI,2.5,G0,96.796875,12/18/2018
FNCI,3,G0,99.046875,12/18/2018
FNCI,3.5,G0,100.53125,12/18/2018
FNCI,4,G0,101.984375,12/18/2018
FNCI,2,G1,94.0625,1/17/2019
FNCI,2.5,G1,96.75,1/17/2019
FNCI,3,G1,98.9375,1/17/2019
FNCI,3.5,G1,100.46875,1/17/2019
FNCI,4,G1,101.90625,1/17/2019
FNCL,2.5,G0,93.015625,12/13/2018
FNCL,3,G0,96.09375,12/13/2018
FNCL,3.5,G0,98.71875,12/13/2018
FNCL,4,G0,101.078125,12/13/2018
FNCL,4.5,G0,103.140625,12/13/2018
FNCL,5,G0,104.734375,12/13/2018
FNCL,2.5,G1,92.9375,1/14/2019
FNCL,3,G1,96.03125,1/14/2019
FNCL,3.5,G1,98.625,1/14/2019
FNCL,4,G1,100.96875,1/14/2019
FNCL,4.5,G1,103,1/14/2019
FNCL,5,G1,104.609375,1/14/2019
G2SF,2.5,G0,94.03125,12/19/2018
G2SF,3,G0,96.9375,12/19/2018
G2SF,3.5,G0,99.46875,12/19/2018
G2SF,4,G0,101.671875,12/19/2018
G2SF,4.5,G0,103.34375,12/19/2018
G2SF,2.5,G1,93.9375,1/23/2019
G2SF,3,G1,96.859375,1/23/2019
G2SF,3.5,G1,99.359375,1/23/2019
G2SF,4,G1,101.53125,1/23/2019
